bairro,numero_quartos,numero_banheiros,vagas_carro,area_gourmet,mobiliado,varanda,imobiliaria,tipo,preco,Link
Tejuco,1,1,,N,N,N,N,Casa,600,https://www.facebook.com/marketplace/item/1445122673503046?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks
,1,1,0,N,N,N,N,Apartamento,750,https://www.facebook.com/marketplace/item/1593219631374355?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks
Fabricas,1,1,0,N,S,N,N,Apartamento,900,https://www.facebook.com/marketplace/item/600487866484792?ref=browse_tab&referral_code=marketplace_general&referral_story_type=general&tracking=%7B%22qid%22%3A%22-8772354560822386871%22%2C%22mf_story_key%22%3A%22695164801453359521%22%2C%22top_level_post_id%22%3A%22695164801453359521%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A695164801453359521%2C%5C%22target_type%5C%22%3A6%2C%5C%22primary_position%5C%22%3A11%2C%5C%22ranking_sigture%5C%22%3A6814644641008008537%2C%5C%22commerce_channel%5C%22%3A501%2C%5C%22value%5C%22%3A0.00021970254844443%2C%5C%22upsell_type%5C%22%3A122%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%229489309794478001%5C%22%3A805%2C%5C%2210010573449022567%5C%22%3A805%2C%5C%2230597454859868612%5C%22%3A805%2C%5C%229783814721669372%5C%22%3A204%2C%5C%2224260299476906415%5C%22%3A3561%2C%5C%2230340048155643574%5C%22%3A701%7D%2C%5C%22grouping_info%5C%22%3Anull%7D%22%2C%22lightning_feed_qid%22%3A%22-8772368098580604303%22%2C%22lightning_feed_ranking_sigture%22%3A%226814644641008008537%22%7D
Dom Bosco,1,1,0,N,N,N,S,Apartamento,900,https://www.facebook.com/marketplace/item/593497410362949?ref=browse_tab&referral_code=marketplace_general&referral_story_type=general&tracking=%7B%22qid%22%3A%22-8772303296098333848%22%2C%22mf_story_key%22%3A%22694944308156741703%22%2C%22top_level_post_id%22%3A%22694944308156741703%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A694944308156741703%2C%5C%22target_type%5C%22%3A6%2C%5C%22primary_position%5C%22%3A26%2C%5C%22ranking_sigture%5C%22%3A6814644641008008537%2C%5C%22commerce_channel%5C%22%3A501%2C%5C%22value%5C%22%3A0.00012706559573417%2C%5C%22upsell_type%5C%22%3A122%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2223948406291431527%5C%22%3A3547%2C%5C%2223991376133792227%5C%22%3A3016%2C%5C%2210075138335907656%5C%22%3A701%2C%5C%2210057889280966946%5C%22%3A701%2C%5C%2229520629774219360%5C%22%3A204%2C%5C%229408250032593079%5C%22%3A701%7D%2C%5C%22grouping_info%5C%22%3Anull%7D%22%2C%22lightning_feed_qid%22%3A%22-8772368098580604303%22%2C%22lightning_feed_ranking_sigture%22%3A%226814644641008008537%22%7D
Matosinhos,1,1,0,N,N,N,N,Apartamento,800,https://www.facebook.com/commerce/listing/1400011977943761?media_id=1&ref=share_attachment
Guarda Mor,1,1,0,S,N,N,S,Casa,600,https://www.facebook.com/commerce/listing/1696151694360402?media_id=1&ref=share_attachment
Centro,1,1,0,N,S,N,S,Apartamento,800,https://www.facebook.com/commerce/listing/703682359116093?media_id=0&ref=share_attachment
Sao Jose Operario,2,2,0,S,N,S,N,Casa,1200,https://www.facebook.com/commerce/listing/1948899855914239?media_id=0&ref=share_attachment
Bela Vista,2,2,2,S,N,S,N,Casa,1500,https://www.facebook.com/commerce/listing/1222435665871437?media_id=0&ref=share_attachment
Matosinhos,2,1,0,S,N,N,S,Casa,900,https://www.facebook.com/commerce/listing/1033685448958713?media_id=0&ref=share_attachment
Colis Del Rey,5,5,3,S,N,S,S,Casa,6500,https://domiciliumimoveis.com.br/imovel/1946/casa/colis-del-rey/sao-joao-del-rei/1
Fabricas,2,1,0,S,N,S,S,Apartamento,1350,https://domiciliumimoveis.com.br/imovel/1941/apartamento/fabricas/sao-joao-del-rei/1
Fabricas,2,1,0,S,N,S,S,Apartamento,2300,https://domiciliumimoveis.com.br/imovel/1934/apartamento/fabricas/sao-joao-del-rei/1#tab-0
,1,1,0,N,N,N,N,Apartamento,580,https://www.facebook.com/commerce/listing/1083019530446442?media_id=1&ref=share_attachment
